username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Cdilma1,2018-10-27 20:54,3,15,#b17,,,#,1056333347620900865,https://twitter.com/Cdilma1/status/1056333347620900865
LeoBrasil19,2018-10-27 19:27,1,1,olsonaro #bolsonaropresidente17,,,#,1056311471808884738,https://twitter.com/LeoBrasil19/status/1056311471808884738
leosertao,2018-10-27 19:21,5,10,recife/pe #mudabrasil17 #bolsonaropresidente17,,,# #,1056309988925325318,https://twitter.com/leosertao/status/1056309988925325318
LeoBrasil19,2018-10-27 19:20,5,10,olsonaro #bolsonaropresidente17 #mudabrasil17,,,# #,1056309693780557824,https://twitter.com/LeoBrasil19/status/1056309693780557824
marq4life,2018-10-27 18:32,156,292,passando pra avisar aqui australia ja 28  ja @jairbolsonaro presidente  #mudabrasil17 #bolsonaro17 #acabouapiranhagempt,,@,# # #,1056297580638785537,https://twitter.com/marq4life/status/1056297580638785537
arilenepaula,2018-10-27 18:20,0,0,nenhumzinho  #nemvemquenaotempt #bolsonaro17,,,# #,1056294668198133761,https://twitter.com/arilenepaula/status/1056294668198133761
Alex29688824,2018-10-27 16:33,1,3,#b17 neles,,,#,1056267707476295680,https://twitter.com/Alex29688824/status/1056267707476295680
LeontinesMelo,2018-10-27 15:43,2,1,#b17 neles ,,,#,1056255056222343168,https://twitter.com/LeontinesMelo/status/1056255056222343168
Maicbal,2018-10-27 15:40,2,1,asta apertar  #bolsonaropresidente17,,,#,1056254248927797250,https://twitter.com/Maicbal/status/1056254248927797250
RosaReginaMend6,2018-10-27 15:26,0,0,#b17 doria 45,,,#,1056250689662394368,https://twitter.com/RosaReginaMend6/status/1056250689662394368
AndrDetoni1,2018-10-27 15:14,153,304,maior mobilizacao favor candidato es  #b17 #bolsonaropresidente #mudabrasi17,,,# # #,1056247660116631553,https://twitter.com/AndrDetoni1/status/1056247660116631553
Noiaa_ndre,2018-10-27 14:54,34,716,vem morar aqui brasil tom  quero ver vc vim desafio vc vim morar aqui brasil viver salario minimo mes  tentar nao ser assaltado utilizar sus  hipocrisia #mudabrasi17 #elesim,,,# #,1056242748041367552,https://twitter.com/Noiaa_ndre/status/1056242748041367552
AnninhaCalderon,2018-10-27 14:46,50,99,video despedida propaganda eleitoral futuro presidente @jairbolsonaro ( tema / musica autorizada viviane senna ) #b17 #mudabrasil17 #bolsonaro,,@,# # #,1056240790471655424,https://twitter.com/AnninhaCalderon/status/1056240790471655424
rbarbosa06,2018-10-27 14:38,803,1647,moral  olha pra pt perdeu eleicao  #mudabrasi17 #elesim @jairbolsonaropictwittercom/ztlno4ow4,,@,# #,1056238790082285568,https://twitter.com/rbarbosa06/status/1056238790082285568
RafaelPereir20,2018-10-27 14:00,13,24,amanha    governador : wilson witzel presidente : jair bolsonaro #w20 #b17 #mudabrasil17 #eleicoes2018,,,# # # #,1056229129400578048,https://twitter.com/RafaelPereir20/status/1056229129400578048
