username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
carlosjordy,2018-10-24 20:34,350,1180,recado tropa jair bolsonaro niteroi petistas esquerdistas cidade . # vaiterquetrabalhar # bolsonaropresidente17,,,# #,1055241166994788353,https://twitter.com/carlosjordy/status/1055241166994788353
yarajanuth,2018-10-24 19:17,4,151,pt destruiu vida ... nao . # b17,,,#,1055221813494587392,https://twitter.com/yarajanuth/status/1055221813494587392
levistania,2018-10-24 18:45,22,27,"oleo peroba nesse malddad ... , # bolsonaropresidente # bolsonaro17 # bolsonarosim # bolsonaro # bolsonaropresidentdobrasil",,,# # # # #,1055213786926366721,https://twitter.com/levistania/status/1055213786926366721
caixa2doMito,2018-10-24 18:16,2,4,# meupartidoeobrasil # b17 # aceitaquedoimenos # euvimdegraca17,,,# # # #,1055206444532789248,https://twitter.com/caixa2doMito/status/1055206444532789248
Gerson97631267,2018-10-24 18:08,93,123,montagem cid gomes haddad ficou d++++ # elesim # ptnuncamais # forapt # bolsonaropresidente,,,# # # #,1055204408538075137,https://twitter.com/Gerson97631267/status/1055204408538075137
Gerson97631267,2018-10-24 18:01,9,14,ferramenta fake news haddad ... .. # elesim # ptnuncamais # forapt # bolsonaropresidentepic.twitter.com/pzpik08gjl,,,# # # #,1055202718854406158,https://twitter.com/Gerson97631267/status/1055202718854406158
Nathy48487766,2018-10-24 17:24,35,70,previsao tempo nunca erra ! ! ! kkkk # bolsonaropresidente # b17,,,# #,1055193371185160192,https://twitter.com/Nathy48487766/status/1055193371185160192
felipe_depaula,2018-10-24 16:43,93,244,quero # haddadpresidentesim # haddad13presidente # haddademanu # bolsonaropredsidente # bolsonaropresidente # bolsonaro17,,,# # # # # #,1055183020251115521,https://twitter.com/felipe_depaula/status/1055183020251115521
MarileneGdaMott,2018-10-24 16:23,9,13,# b17 neles ! # bolsonaropresidente,,,# #,1055177920442974209,https://twitter.com/MarileneGdaMott/status/1055177920442974209
DrDayAlves,2018-10-24 14:37,564,970,"prefeito feira santana - ba declara voto bolsonaro ... contra pt ! brasil cansou mentiras desgoverno pt ... chega ! haddad , vc mente , finge engana populacao ! # bolsonaropredsidente # bolsonaropresidente17",,,# #,1055151253142036486,https://twitter.com/DrDayAlves/status/1055151253142036486
Francischini_,2018-10-24 14:23,1241,3463,humilhacao petista : cid vez hahaha ! # bolsonaro17 # delegadofrancischini # compartilhe,,,# # #,1055147887355674624,https://twitter.com/Francischini_/status/1055147887355674624
kmilaviana,2018-10-24 14:02,1000,2286,manifestacao prol @ jairbolsonaro # bhshopping noite ontem . festa comecou passarela br-356 . # olulatapresobabaca # bolsonaropresidente # bolsonaropresidentedobrasil # bolsonaropresidente17 # minasgerais # bh,,@,# # # # # # #,1055142618101878789,https://twitter.com/kmilaviana/status/1055142618101878789
OzielCosta_,2018-10-24 13:32,4,16,voces vai perder haha pt vai dancar # forapt # elesnao # elesim,,,# # #,1055134954840039424,https://twitter.com/OzielCosta_/status/1055134954840039424
gillyworks,2018-10-24 13:21,44,44,"# mulherescombolsonaro , voce sabe pq ricos odeiam ver pobre ufrj ufmg ? pq nao querem ver filhos voces competindo melhores empregos . sabe sonegacao impostos ? assiste video ate final , sao so 2 minutinhos . # b17 https : //youtu.be/elbqbueu0tq",,,# #,1055132161790095360,https://twitter.com/gillyworks/status/1055132161790095360
SouEstou,2018-10-24 13:05,40,48,vc sabe q vai perder ne ? # bolsonaropresidente # ibopefake # suasticafake # bolsonaro17 # bolsonaropresidente # naoaceitaremosfraude,,,# # # # # #,1055128209526833152,https://twitter.com/SouEstou/status/1055128209526833152
victor_joao_rv,2018-10-24 12:45,38,62,# bolsonaropresidente # estoucombolsonaro # b17 brasil acima tudo deus acima todos .,,,# # #,1055123175837745153,https://twitter.com/victor_joao_rv/status/1055123175837745153
Francischini_,2018-10-24 11:41,1258,2845,"haddad , senhor nao jogado biblia ... # delegadofrancischini # bolsonaro17 # compartilhe",,,# # #,1055107015914217473,https://twitter.com/Francischini_/status/1055107015914217473
denise47613384,2018-10-24 11:26,0,2,forapt # b17,,,#,1055103167749328898,https://twitter.com/denise47613384/status/1055103167749328898
coimbrafiho,2018-10-24 09:41,1,1,# brasilien will die roten # ratten aus dem land jagen # bolsonaro17 https : //indexexpurgatorius.wordpress.com/2018/10/24/brasilien-will-die-roten-ratten-aus-dem-land-jagen/ ... via @ sorpri,,@,# # #,1055076767503917056,https://twitter.com/coimbrafiho/status/1055076767503917056
realchenx,2018-10-24 08:32,6,9,# bolsonaropresidente17 % moro pic.twitter.com/eelejj2o8,,,#,1055059362698407937,https://twitter.com/realchenx/status/1055059362698407937
